AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
PavingStones094,2K-JPG,zip,26066711,https://ambientCG.com/get?file=PavingStones094_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones094_e7981f2g/PavingStones094_2K-JPG.zip
PavingStones094,2K-PNG,zip,60731159,https://ambientCG.com/get?file=PavingStones094_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones094_e7981f2g/PavingStones094_2K-PNG.zip
PavingStones094,4K-JPG,zip,102780055,https://ambientCG.com/get?file=PavingStones094_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones094_e7981f2g/PavingStones094_4K-JPG.zip
PavingStones094,4K-PNG,zip,240558871,https://ambientCG.com/get?file=PavingStones094_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones094_e7981f2g/PavingStones094_4K-PNG.zip
PavingStones094,8K-JPG,zip,418769879,https://ambientCG.com/get?file=PavingStones094_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones094_e7981f2g/PavingStones094_8K-JPG.zip
PavingStones094,8K-PNG,zip,945761559,https://ambientCG.com/get?file=PavingStones094_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones094_e7981f2g/PavingStones094_8K-PNG.zip
PavingStones093,1K-JPG,zip,6452460,https://ambientCG.com/get?file=PavingStones093_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones093_k9a4uieb/PavingStones093_1K-JPG.zip
PavingStones093,1K-PNG,zip,15115884,https://ambientCG.com/get?file=PavingStones093_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones093_k9a4uieb/PavingStones093_1K-PNG.zip
PavingStones093,2K-JPG,zip,26137388,https://ambientCG.com/get?file=PavingStones093_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones093_k9a4uieb/PavingStones093_2K-JPG.zip
PavingStones093,2K-PNG,zip,60535468,https://ambientCG.com/get?file=PavingStones093_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones093_k9a4uieb/PavingStones093_2K-PNG.zip
PavingStones093,4K-JPG,zip,102465068,https://ambientCG.com/get?file=PavingStones093_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones093_k9a4uieb/PavingStones093_4K-JPG.zip
PavingStones093,4K-PNG,zip,239254508,https://ambientCG.com/get?file=PavingStones093_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones093_k9a4uieb/PavingStones093_4K-PNG.zip
PavingStones093,8K-JPG,zip,417620332,https://ambientCG.com/get?file=PavingStones093_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones093_k9a4uieb/PavingStones093_8K-JPG.zip
PavingStones093,8K-PNG,zip,949139180,https://ambientCG.com/get?file=PavingStones093_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones093_k9a4uieb/PavingStones093_8K-PNG.zip
PaymentCardSubstance001,,sbsar,101835962,https://ambientCG.com/get?file=PaymentCardSubstance001.sbsar,https://cdn3.struffelproductions.com/file/ambientCG/download/PaymentCardSubstance001_87xuf19p/PaymentCardSubstance001.sbsar
